UgyfelNeve;SzamlafizetoAzonosito;Szamlasorszam;SzamlaOsszeg
Horvath Norbert;2083720297;80607411;110371.21
Gulyas Zoltan;2993883463;80415189;190534.23
Nagy Gabriella;2230896239;82559381;31902.0
Feher Monika;2019259945;88912387;187618.5
Kovacs Csaba;2203221567;81120184;10682.22
Papp Timea;2642116259;88577733;109520.15
Feher Zoltan;2131872542;83579756;168602.99
Simon Sandor;2986581225;86877739;108010.94
Balogh Orsolya;2824416528;86415105;156853.38
Papp Zoltan;2924881038;84460525;171663.35
Gulyas Csaba;2055870618;81533582;165732.21
Juhasz Adam;2631245045;84851175;181272.58
Szabo Norbert;2160277470;85946346;122662.13
Nagy Ferenc;2083789524;87119700;188767.38
Fodor Adam;2194040275;89015310;131932.54
Boros Adam;2274509129;85716540;177037.12
Molnar Adam;2063204491;83411176;165994.9
Meszaros Katalin;2423582134;85756504;112776.43
Feher Renata;2972469502;86334938;137121.18
Farkas Hanna;2786570688;89009739;6126.44
Lakatos Laszlo;2496257025;83571835;112275.84
Toth Hanna;2607440721;87710652;29571.79
Gulyas Norbert;2583297026;88488795;64318.64
Molnar Orsolya;2396011837;87257338;16275.94
Fodor Laszlo;2790254085;86718927;86109.94
Boros Istvan;2498107698;88505759;128256.85
Varga Gabriella;2850768291;88907445;88927.37
Toth Hanna;2607440721;86584296;108225.83
Papp Erika;2688559884;85470100;39351.38
Balogh Judit;2724171437;83965989;159160.25
Molnar David;2118878653;84010816;136449.22
Meszaros Monika;2249761928;83206866;189689.17
Varga Judit;2733550164;85220879;65293.19
Varga Monika;2984296701;87060426;186853.29
Farkas Judit;2704677894;80292400;52205.5
Papp Norbert;2171286765;80709303;190753.45
Farkas Peter;2143101717;84792959;60853.86
Szabo Judit;2410220454;80409932;33311.92
Szabo Renata;2035244027;87763629;148258.13
Hegedus Adam;2126586352;86486250;121842.74
Boros Istvan;2071248721;86842495;157339.4
Boros Hanna;2498873364;88817431;49986.45
Gulyas Istvan;2585111207;89046452;73794.06
Simon Erika;2270571966;89616065;58358.33
Hegedus David;2086289891;81844956;6445.99
Juhasz Judit;2357544862;82801687;48136.18
Meszaros Hanna;2376566714;86711568;188268.44
Gulyas Sandor;2419625288;88137945;24075.77
Nagy Ferenc;2083789524;81532068;131998.22
Toth Judit;2089713890;84028426;153966.82
Balogh Judit;2724171437;80453189;197621.11
Lakatos Katalin;2032799216;87001027;53728.37
Gulyas Monika;2800928798;82864130;69786.83
Simon Zoltan;2193563113;84447846;18203.5
Balogh Ferenc;2592182345;84082860;2583.44
Molnar Orsolya;2396011837;85340657;140629.87
Boros Adam;2274509129;82637286;100748.14
Lakatos Timea;2162539951;83832433;65755.97
Horvath David;2739513130;80509241;61589.13
Horvath Norbert;2086861557;81351959;171304.33
Juhasz Sandor;2891985508;84069263;95998.09
Gulyas Timea;2490437711;86702788;17376.39
Toth Ferenc;2041385368;85239094;2671.44
Meszaros Adam;2674743714;89434890;181085.03
Lakatos Renata;2900839847;80226441;131194.7
Varga Hanna;2786675524;80285951;72099.22
Juhasz Zoltan;2895729374;87507121;138756.76
Varga Monika;2984296701;84298049;121401.45
Meszaros Renata;2677202436;86156384;13297.9
Molnar Orsolya;2396011837;80380696;187179.04
Gulyas Ferenc;2196219875;87240921;194275.93
Horvath Bence;2285114769;84297450;41971.04
Simon Sandor;2986581225;83576545;85838.35
Farkas Hanna;2786570688;85967500;181825.44
Gulyas David;2280735932;86101117;139470.49
Meszaros Hanna;2376566714;85382979;23254.46
Gulyas Erika;2722245481;80517089;66608.76
Szabo Judit;2690269834;85479749;130480.67
Meszaros Zoltan;2366614278;82616122;100617.03
Boros Istvan;2968330965;82402066;101724.14
Kiss Zoltan;2682715369;87933725;42863.69
Gulyas Bence;2223362182;86426212;112794.24
Molnar Orsolya;2685068213;88597609;22441.55
Juhasz Katalin;2399957385;84448819;159692.58
Simon Gabriella;2388183862;81109437;137495.06
Horvath Hanna;2125020673;80389836;75431.29
Nagy Peter;2389743756;89814000;111328.45
Balogh Ferenc;2842849511;84044334;36884.09
Boros David;2356261922;88048548;140121.27
Juhasz Timea;2570576088;82101981;25100.43
Fodor Timea;2374105174;83186841;124627.84
Juhasz Sandor;2598632932;84659410;19285.47
Horvath Norbert;2083720297;86768224;116403.09
Kiss Timea;2345975963;84648537;146814.04
Juhasz Adam;2631245045;86549083;155536.56
Balogh Judit;2724171437;86607476;100409.15
Boros Katalin;2458857172;87651343;110497.52
Meszaros Orsolya;2113488581;88810246;141845.82
Papp Zoltan;2924881038;83534977;39373.93
Nagy Peter;2425503641;83584517;171128.38
Gulyas Zoltan;2107375854;87310079;99710.35
Molnar Zoltan;2959057503;86170578;30072.05
Feher Katalin;2851784186;89580908;196955.34
Balogh Ferenc;2842849511;89338745;45569.1
Hegedus David;2086289891;85337690;37089.72
Varga Laszlo;2484561354;89128798;129329.67
Boros Peter;2179859735;82723987;89049.25
Balogh Ferenc;2592182345;86500821;178679.3
Kiss Erika;2852214410;82474942;25009.83
Molnar Orsolya;2396011837;80641790;198308.57
Toth Katalin;2663091174;81143879;101103.54
Simon Zoltan;2193563113;83589375;126042.57
Gulyas Monika;2800928798;82433054;35390.88
Simon Sandor;2986581225;83115761;142497.51
Nagy Monika;2676571855;87275195;135592.11
Hegedus David;2086289891;87938175;166607.88
Boros Istvan;2968330965;83055187;105123.54
Juhasz Zoltan;2059827405;88716739;168940.89
Feher Zoltan;2649654831;82686807;184218.16
Toth Erika;2662890078;85735491;161102.89
Papp Erika;2688559884;80058547;191145.06
Nagy Adam;2043145406;89950039;195529.24
Varga Csaba;2278901890;85012368;112985.9
Szabo Norbert;2160277470;82582087;161127.35
Boros Orsolya;2642432721;80370504;191801.51
Horvath Adam;2181191759;81267799;81159.21
Molnar Erika;2740563769;89945281;125574.01
Nagy Csaba;2613680044;83810526;45492.3
Varga Gabriella;2850768291;80048273;134159.46
Fodor Hanna;2480768298;81186420;175014.87
Molnar Orsolya;2685068213;84504671;68746.24
Horvath Hanna;2125020673;83514308;89702.99
Simon Ferenc;2823141372;81563021;161549.32
Varga Csaba;2278901890;88399635;72225.93
Boros David;2356261922;89242523;44851.7
Simon Orsolya;2953343914;83594421;25261.73
Lakatos Gabriella;2200681783;81685220;53346.35
Papp Erika;2092450316;87567666;143065.44
Varga Timea;2252817572;81339870;129768.78
Varga Laszlo;2386390062;84894439;109759.31
Meszaros Adam;2674743714;87107017;47468.35
Feher Katalin;2375096286;83794975;90882.18
Toth Katalin;2663091174;83468576;78479.01
Varga Ferenc;2327321641;81217414;120320.76
Feher Orsolya;2456154016;81132039;153661.48
Feher Norbert;2357963114;85928932;123710.51
Boros Sandor;2787103956;85695214;20211.31
Gulyas Zoltan;2993883463;88706017;151983.84
Feher Sandor;2299644820;80456402;119883.49
Balogh Ferenc;2592182345;80312844;9200.09
Szabo Judit;2950379681;87855660;180922.19
Papp Zoltan;2924881038;87146798;187987.55
Simon Ferenc;2823141372;85391489;120438.42
Gulyas David;2824028755;85376299;187559.92
Horvath David;2739513130;84243108;12893.48
Boros Peter;2179859735;82021820;57889.43
Szabo Timea;2865270687;86406822;61366.43
Molnar Laszlo;2692454018;84297670;140063.86
Boros Csaba;2225238528;87180200;15160.13
Juhasz Bence;2876555098;89339608;27412.83
Nagy Peter;2425503641;86653041;111643.96
Kovacs David;2043023200;84766602;34809.6
Gulyas Zoltan;2993883463;87965908;25276.34
Feher Erika;2610640359;82182060;189059.96
Nagy Peter;2389743756;84636008;55768.71
Papp Zoltan;2924881038;88813239;163549.99
Balogh Gabriella;2051805076;87154167;94861.68
Simon Sandor;2986581225;83783371;145840.17
Meszaros Erika;2343105013;84144016;8028.71
Fodor Hanna;2253585092;81273130;177726.48
Feher Erika;2610640359;89409056;154153.94
Boros Hanna;2498873364;82096958;131998.61
Boros Istvan;2071248721;83500343;20599.27
Papp Erika;2092450316;83528514;78805.89
Boros Sandor;2787103956;85466195;29848.5
Horvath Hanna;2125020673;80748247;174951.66
Feher Monika;2087197055;84183631;30030.17
Simon Laszlo;2504115020;85720890;88463.57
Simon Sandor;2986581225;84836100;139700.23
Gulyas Csaba;2055870618;84037871;85257.97
Feher Monika;2011683484;84072316;11994.64
Hegedus Sandor;2509854495;81418063;108418.65
Horvath Norbert;2706242587;86789438;162232.61
Toth Hanna;2503363473;86896905;109361.62
Varga Bence;2300675716;81914280;162701.82
Molnar Istvan;2169103938;87129437;88095.05
Farkas Hanna;2786570688;86524685;15402.87
Nagy Peter;2389743756;88248577;58062.96
Boros Istvan;2071248721;88132889;161850.42
Farkas Zoltan;2078570200;82234900;54482.3
Fodor Hanna;2480768298;87917193;60034.81
Farkas Adam;2242842035;82389198;92551.2
Kiss Erika;2852214410;87708873;107217.29
Toth Katalin;2663091174;85249513;58776.63
Varga Peter;2810883271;80389849;123958.58
Meszaros Sandor;2645098636;84496648;175711.01
Simon Peter;2387209542;84003418;64671.34
Molnar Adam;2063204491;85604606;154482.24
Boros David;2317924367;81304638;20906.82
Molnar Katalin;2724720072;87735365;95299.67
Kiss Monika;2094445803;81690456;50616.42
Toth Katalin;2663091174;83569971;50871.14
Szabo Judit;2410220454;85284361;195222.02
Molnar Orsolya;2685068213;85763520;150346.67
Fodor Bence;2430744197;80751378;23089.75
Gulyas Erika;2970157895;82496251;180136.84
Papp Ferenc;2755264131;89638588;136786.07
Balogh Ferenc;2592182345;88487282;9608.95
Simon Norbert;2076018860;87120618;84494.61
Molnar Erika;2740563769;80175453;8639.78
Hegedus Hanna;2212943511;87411102;109466.81
Juhasz Laszlo;2473870649;88088159;106195.33
Fodor Timea;2374105174;87822787;30161.72
Kovacs Ferenc;2701146277;82462231;97170.98
Molnar Adam;2063204491;80261116;193917.0
Toth Bence;2521773412;80341131;30501.07
Boros Istvan;2968330965;81057634;120633.98
Juhasz Sandor;2891985508;82544209;16304.61
Fodor Bence;2430744197;85321999;44967.6
Varga Judit;2359628874;88877121;131818.7
Horvath Laszlo;2616567738;85375162;44534.24
Horvath Timea;2550175366;89264402;4679.14
Fodor Laszlo;2812497379;80500623;38612.37
Kovacs Timea;2640849268;86553851;190141.66
Papp Erika;2688559884;88535246;185461.92
Nagy Csaba;2898099864;86152549;16919.19
Feher David;2758101039;82718586;189914.34
Kovacs Monika;2867571801;86192282;144650.27
Juhasz Katalin;2740803042;84539064;90802.33
Toth Judit;2089713890;84388359;90856.36
Kovacs Istvan;2194557465;81675052;47178.76
Simon Orsolya;2953343914;89192920;52449.11
Boros Bence;2234383591;86602316;62046.98
Kovacs Csaba;2203221567;82084432;73841.48
Boros Hanna;2498873364;82152646;109216.31
Horvath David;2739513130;86760783;9406.66
Szabo Csaba;2264122791;81134480;157018.15
Meszaros Hanna;2376566714;82478400;82134.84
Szabo Istvan;2188316522;85738466;158148.09
Balogh Adam;2536670284;82269224;20617.53
Papp Ferenc;2755264131;80583544;30606.76
Kovacs David;2291876686;80232575;10465.82
Papp Katalin;2019839687;88925218;125932.84
Szabo Norbert;2160277470;88312629;97155.45
Meszaros Hanna;2376566714;87151084;157631.48
Papp Erika;2688559884;80899147;75153.92
Boros Adam;2274509129;88252055;123234.02
Hegedus David;2086289891;81571662;65368.31
Juhasz Bence;2876555098;82636829;161844.96
Molnar Peter;2903904142;86306452;119162.34
Gulyas Zoltan;2993883463;87282585;81759.93
Molnar Katalin;2724720072;80371633;20519.35
Boros Orsolya;2642432721;87892092;143173.98
Juhasz Zoltan;2895729374;83659777;114329.04
Juhasz Bence;2876555098;85246472;79296.49
Simon Ferenc;2952715416;80253993;139264.38
Toth Katalin;2663091174;84700054;23656.59
Molnar Katalin;2724720072;84736795;50191.6
Hegedus Peter;2746659125;84259340;177662.48
Gulyas Erika;2970157895;85239179;50709.04
Feher Zoltan;2131872542;83629601;193625.54
Molnar Katalin;2167391341;88372038;192860.05
Molnar David;2529161631;80982719;114080.13
Feher Monika;2087197055;80971128;79533.2
Gulyas Erika;2970157895;86353321;140629.62
Farkas Peter;2143101717;80478247;71551.17
Fodor Monika;2896414907;82319281;52573.07
Szabo Judit;2410220454;81640088;104806.15
Szabo Laszlo;2764987260;83908612;175998.23
Boros Peter;2179859735;83121862;160468.55
Kovacs Renata;2391667699;80596287;85843.27
Balogh Orsolya;2947128662;81016979;30641.88
Gulyas Csaba;2055870618;88456808;111487.55
Horvath David;2739513130;89721551;161731.64
Feher Judit;2800760305;86605940;92124.23
Juhasz Zoltan;2895729374;87400319;191795.71
Simon Laszlo;2504115020;85788665;141561.43
Molnar Laszlo;2692454018;82996973;168878.13
Nagy Peter;2425503641;88996261;129143.36
Gulyas Katalin;2379282461;86681709;187384.25
Horvath Norbert;2083720297;81048519;47745.85
Meszaros David;2305491935;83076152;133834.31
Meszaros Katalin;2395688840;82958429;178531.13
Kiss Judit;2739858618;81737826;15310.67
Gulyas David;2280735932;85704911;22200.61
Balogh Ferenc;2592182345;87002215;50208.26
Lakatos Ferenc;2553737555;85520233;193534.4
Boros Hanna;2498873364;82531708;86176.99
Simon Katalin;2870113247;87687259;120742.73
Hegedus David;2086289891;81855356;164932.21
Toth Katalin;2663091174;89548045;8438.89
Horvath Erika;2248677149;83920783;82605.34
Kiss Gabriella;2509775839;84493967;154269.59
Nagy Adam;2043145406;84500955;68981.48
Juhasz Adam;2631245045;84406714;96855.3
Molnar Orsolya;2396011837;86599690;178233.87
Toth David;2730187785;88483016;134299.22
Simon Ferenc;2952715416;81269971;49210.46
Gulyas Istvan;2547999385;86940243;19151.56
Kiss Zoltan;2682715369;80500914;127956.56
Gulyas Laszlo;2507748857;80229662;65463.3
Juhasz Bence;2263504256;83545851;41590.79
Molnar Katalin;2724720072;86447398;146811.97
Farkas Bence;2306742914;89465187;103400.5
Juhasz Norbert;2856958498;85541125;143615.31
Simon Laszlo;2504115020;83887752;126242.36
Gulyas Katalin;2379282461;81506841;102036.05
Juhasz Norbert;2856958498;85244207;63606.07
Varga Judit;2733550164;82954261;51766.16
Hegedus Adam;2126586352;81423772;81979.42
Simon Zoltan;2193563113;81468925;10000.93
Varga Judit;2733550164;83851035;181957.81
Nagy Gabriella;2230896239;82206101;193474.72
Boros Istvan;2071248721;87173213;177406.06
Gulyas Erika;2970157895;86344669;103310.47
Fodor Hanna;2480768298;88079822;28653.69
Feher Monika;2008150324;89365708;154620.5
Kiss Erika;2852214410;87532238;145352.1
Molnar Orsolya;2396011837;87455749;173784.18
Varga Csaba;2278901890;82354953;157622.52
Fodor Hanna;2253585092;83592211;114901.25
Gulyas Peter;2321186198;88124115;162716.05
Lakatos Hanna;2511146014;82738425;4379.2
Kiss Zoltan;2682715369;84743261;167181.08
Kiss Zoltan;2682715369;88749871;30929.52
Gulyas David;2502453410;85873584;24752.12
Lakatos Gabriella;2200681783;83941772;48597.45
Simon Orsolya;2953343914;80296570;145067.92
Lakatos Katalin;2032799216;82040832;42473.66
Horvath Hanna;2125020673;86339613;16640.05
Kiss Erika;2827945367;88429331;152432.66
Kiss Orsolya;2161899238;83704358;108526.6
Juhasz Zoltan;2895729374;84753066;64865.32
Boros Orsolya;2642432721;82303348;94325.28
Molnar Bence;2768658812;89292797;56833.21
Simon Sandor;2986581225;88441793;162485.54
Kiss Judit;2739858618;87155007;195882.61
Szabo Norbert;2160277470;81726850;69593.13
Simon Orsolya;2953343914;83010312;160753.79
Gulyas Ferenc;2196219875;83065287;73919.65
Nagy Peter;2389743756;85834216;146106.11
Szabo Judit;2690269834;88956536;128259.34
Nagy Peter;2389743756;84226920;87130.6
Simon Erika;2270571966;87852316;109245.78
Varga Orsolya;2923139256;89753111;8492.86
Kovacs Zoltan;2101190402;80700413;82884.03
Boros Hanna;2498873364;82120256;35873.07
Gulyas Zoltan;2993883463;82871684;56288.67
Kovacs Csaba;2203221567;80894425;197155.73
Farkas Peter;2143101717;82773804;197532.17
Gulyas Zoltan;2993883463;84691399;126322.32
Boros Erika;2082569655;88561686;196527.49
Feher Sandor;2299644820;88543985;101412.5
Juhasz Katalin;2399957385;87913637;43587.33
Kiss Erika;2852214410;85823880;123958.35
Toth Orsolya;2866867193;89010693;162606.1
Gulyas Monika;2800928798;89990083;157887.72
Papp Sandor;2604319832;86179924;159813.2
Nagy Gabriella;2230896239;86810507;45296.89
Toth Judit;2089713890;81259767;121998.62
Varga Judit;2733550164;83332185;184903.2
Nagy Csaba;2613680044;80836225;169812.12
Horvath Renata;2255340710;89176768;66951.28
Molnar Erika;2740563769;88411529;168568.3
Farkas Timea;2981949225;86083624;41728.76
Feher Zoltan;2131872542;87289058;42084.62
Fodor Bence;2430744197;89208886;195124.17
Boros Orsolya;2642432721;87183668;106488.99
Boros Istvan;2968330965;88680686;5884.92
Molnar Zoltan;2894831162;87487073;64538.35
Toth Katalin;2663091174;89761617;42989.45
Simon Orsolya;2953343914;82659368;33581.2
Juhasz Adam;2631245045;86839395;131823.74
Nagy Csaba;2613680044;84811388;87906.05
Fodor Bence;2430744197;85680975;45529.11
Gulyas Zoltan;2993883463;88799368;27714.92
Simon Judit;2452022596;85955216;161355.25
Gulyas Katalin;2379282461;88065516;7587.38
Simon Norbert;2076018860;82422443;135621.09
Boros Adam;2274509129;87882105;106323.96
Papp Erika;2092450316;84395296;160442.87
Simon Peter;2861309490;83590756;172411.71
Lakatos Istvan;2279866767;85734656;173010.66
Horvath Laszlo;2616567738;88657603;121315.02
Lakatos Katalin;2032799216;85832468;176723.81
